"Airport","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004"
"Aguni","1,987","2,281","1,357","1,698","3,519","5,702","3,122","12,517","25,260","21,309","18,504","17,371","15,156","16,307","21,523","21,306","24,124","28,462","34,219"
"Akita","1,796,635","789,851","727,635","2,696,546","2,692,007","2,649,030","2,470,575","2,482,414","2,442,668","2,413,701","2,306,930","2,244,898","2,198,482","2,189,517","2,391,155","2,581,324","2,654,412","2,692,783","2,689,330"
"Amakusa","73,065","51,304","38,390","83,921","113,735","121,386","125,280","105,816","123,805","119,911","114,155","119,754","108,911","117,890","124,370","148,576","148,428","145,930","152,956"
"Amami","1,544,080","1,194,605","1,004,880","1,776,540","1,740,068","1,533,391","1,399,690","1,354,954","1,232,194","1,115,888","1,073,028","1,074,694","1,047,390","1,085,509","1,112,652","1,160,946","1,200,255","1,208,379","1,210,261"
"Aomori","1,868,323","933,712","820,038","2,449,273","2,402,498","2,352,658","2,156,358","2,013,214","1,849,051","1,722,123","1,660,474","1,626,696","2,023,963","2,103,812","2,301,668","2,531,216","2,516,233","2,542,351","2,591,448"
"Asahikawa","1,624,862","848,273","727,589","2,238,024","2,259,585","2,253,220","2,263,256","2,317,463","2,207,530","2,163,263","2,117,134","1,895,003","2,345,907","2,364,150","2,629,160","2,498,346","2,541,402","2,387,243","2,250,554"
"Chofu","190,962","140,832","117,331","191,822","200,967","205,388","194,784","190,789","180,477","140,230","133,678","120,681","125,874","115,457","115,212","112,805","86,120","91,794","91,857"
"Fukue","292,967","190,998","166,453","333,447","310,465","288,263","262,943","269,053","272,401","269,113","255,345","252,277","258,390","288,542","297,513","312,929","319,500","324,317","317,577"
"Fukui","0","0","0","0","0","0","0","0","0","0","0","0","0","52","80","82","98","52","198"
"Fukuoka","32,792,530","17,942,469","16,086,150","47,715,195","49,484,562","47,776,071","44,313,804","42,336,189","39,708,089","38,243,679","35,198,751","31,196,106","32,298,208","31,928,049","34,108,577","35,715,775","36,315,409","37,212,240","37,083,684"
"Fukushima","341,250","186,250","171,779","545,726","539,500","517,598","498,981","498,241","505,233","488,016","459,379","442,571","563,130","571,687","905,886","1,031,758","1,062,016","1,098,610","1,130,775"
"Hachijojima","380,583","241,381","214,936","420,497","422,152","410,382","385,292","361,346","366,433","397,453","394,894","374,834","387,373","383,985","410,910","465,519","469,504","458,938","453,769"
"Hakodate","2,628,504","1,468,497","1,352,388","3,479,943","3,552,737","3,574,590","3,488,381","3,566,186","3,405,849","3,303,237","2,989,564","2,783,349","3,120,037","3,015,312","3,447,615","3,782,907","4,025,236","4,187,475","4,349,780"
"Hanamaki","739,123","390,372","342,796","1,007,922","966,341","879,567","844,875","795,073","792,295","751,082","660,967","593,282","537,214","722,331","733,045","813,823","898,010","1,003,346","959,541"
"Hateruma","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3,644","7,912","9,183","7,182","6,321"
"Hiroshima","3,764,324","1,866,743","1,895,218","6,166,553","5,961,093","5,952,783","5,736,377","5,337,208","5,398,338","5,263,438","5,344,529","5,067,748","5,530,268","5,666,781","6,319,526","6,617,438","6,669,228","6,567,802","6,605,394"
"Ibaraki","1,091,051","537,430","522,103","1,598,210","1,493,799","1,336,338","1,218,260","1,092,577","1,052,067","776,498","803,441","570,924","348,291","8,506","0","0","0","0","0"
"Iejima","230","1,854","1,130","0","0","0","96","44","16","36","84","4","12","0","139","475","759","1,237","1,299"
"Iki","64,258","51,528","47,090","68,461","68,773","67,417","61,113","61,582","62,792","65,188","63,760","56,213","57,693","63,827","63,823","61,585","57,550","57,815","60,019"
"Iwakuni","655,658","242,777","233,098","997,538","1,042,342","986,392","886,970","728,703","725,880","708,426","123,356","0","0","0","0","0","0","0","0"
"Iwami","202,111","66,989","74,116","297,539","303,882","288,294","245,481","257,983","216,753","162,778","139,328","131,336","149,214","134,359","141,027","143,085","143,896","163,919","185,436"
"Izumo","1,573,928","827,482","765,330","2,067,096","2,034,556","1,881,136","1,806,046","1,678,394","1,570,060","1,655,780","1,389,028","1,262,266","1,386,923","1,385,653","1,519,625","1,493,562","1,482,105","1,437,814","1,499,413"
"Kagoshima","8,743,612","5,107,704","4,410,409","11,844,330","12,045,245","11,304,690","10,816,659","10,455,367","10,325,926","10,155,352","9,492,280","8,931,649","9,792,799","10,032,290","10,966,364","11,166,476","11,427,625","11,429,522","11,549,776"
"Kamigoto","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","955","9,431","10,703"
"Kerama","436","230","287","401","211","995","963","961","1,496","2,348","1,172","430","79","236","494","2,309","4,513","7,024","7,025"
"Kikai","143,697","115,084","101,861","176,657","176,820","167,576","163,177","159,886","149,072","138,839","135,946","141,772","142,637","144,845","146,266","154,468","157,854","159,368","162,177"
"Kitadaito","50,431","49,695","45,123","44,867","37,642","38,951","39,207","34,391","34,900","33,118","31,932","31,708","31,007","31,045","29,389","26,592","25,958","28,483","29,169"
"Kitakyushu","1,588,722","926,994","887,153","3,354,712","3,543,319","3,292,930","2,742,434","2,635,046","2,537,596","2,745,429","2,531,514","2,326,323","2,384,724","2,334,948","2,434,729","2,518,278","2,378,562","692,104","588,807"
"Kobe","5,810,564","3,378,344","2,838,867","6,655,018","6,371,790","6,245,236","5,481,563","4,981,701","4,944,210","4,679,519","4,886,977","5,106,662","4,443,922","4,667,556","5,286,071","5,939,146","5,123,833","353,673","0"
"Kochi","2,459,023","1,357,896","1,189,867","3,238,810","3,071,390","2,967,006","2,840,338","2,707,197","2,671,588","2,637,359","2,438,951","2,301,764","2,513,664","2,397,246","2,634,435","2,789,386","2,988,229","3,059,060","3,123,293"
"Komatsu","2,129,152","1,009,265","1,029,116","3,681,219","3,601,347","3,513,963","3,414,732","3,550,245","4,627,750","4,558,223","4,336,038","3,928,696","4,160,575","4,139,851","4,774,608","4,895,088","5,098,291","4,937,944","4,999,161"
"Konan","21","32","15","10","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kozushima","48,213","35,570","28,691","44,539","45,141","48,057","43,278","41,280","41,319","40,604","40,736","35,149","35,407","32,507","33,483","32,298","25,961","28,204","26,423"
"Kumamoto","4,906,174","2,535,226","2,158,852","6,765,569","6,870,590","6,647,206","5,968,884","6,475,677","6,174,542","6,044,859","5,808,400","5,655,739","5,729,853","5,705,357","6,152,421","6,316,593","6,305,124","6,264,389","6,090,480"
"Kumejima","390,634","277,266","293,221","521,910","529,636","518,477","513,096","479,841","483,980","468,291","447,185","446,889","475,620","462,705","497,626","497,301","494,000","526,791","535,521"
"Kushiro","1,322,285","826,280","769,097","1,688,707","1,587,310","1,488,725","1,439,392","1,379,029","1,353,431","1,368,722","1,277,771","1,199,212","1,396,962","1,478,687","1,599,297","1,736,374","1,815,656","1,890,546","1,855,185"
"Matsumoto","433,356","246,281","168,210","312,934","274,220","266,986","246,231","229,189","190,649","170,315","155,131","154,492","143,727","115,315","128,473","207,520","241,140","250,089","237,981"
"Matsuyama","4,164,438","2,149,745","1,965,903","6,139,533","6,303,345","6,083,176","5,807,116","5,743,890","5,682,485","5,208,360","4,695,394","4,406,863","4,691,818","4,728,787","5,110,976","5,370,607","5,476,016","5,372,418","5,261,950"
"Memanbetsu","1,396,684","877,345","674,571","1,671,003","1,676,436","1,659,142","1,549,822","1,522,544","1,473,673","1,460,959","1,439,339","1,328,449","1,395,837","1,528,926","1,811,249","1,926,038","2,172,390","2,025,809","1,990,070"
"Minamidaito","86,948","80,627","78,416","96,637","94,053","96,660","92,658","84,541","87,592","83,045","78,439","77,168","76,853","75,656","69,846","67,700","68,888","72,385","75,259"
"Misawa","587,417","282,709","209,312","613,168","586,558","472,984","496,634","507,750","480,265","520,324","457,411","520,629","524,583","517,089","537,991","602,078","644,546","666,782","675,970"
"Miyakejima","54,912","42,489","36,439","57,862","54,800","51,914","46,450","45,084","36,987","10,752","12,321","11,012","11,147","12,873","19,015","0","0","0","0"
"Miyako","2,890,074","1,743,318","1,827,827","3,561,442","3,542,664","3,364,628","3,089,553","2,676,576","2,620,952","2,483,387","2,563,726","2,245,836","2,168,412","2,107,761","2,173,716","2,191,517","2,233,799","2,213,679","2,144,546"
"Miyazaki","4,801,110","2,646,761","2,309,628","6,646,811","6,701,380","6,380,867","6,165,385","6,004,247","5,709,509","5,670,655","5,356,552","4,906,012","5,236,962","5,411,039","5,914,783","6,050,562","6,164,475","6,187,740","6,152,009"
"Mombetsu","97,919","68,117","58,387","149,327","144,066","147,878","142,099","144,078","135,436","114,104","107,058","97,705","100,172","94,888","95,894","98,656","108,724","111,468","108,081"
"Nagasaki","4,804,255","2,477,895","2,229,513","6,519,206","6,499,456","6,323,827","5,964,000","6,217,722","5,973,073","5,675,520","5,389,015","4,874,779","4,660,832","4,665,607","4,993,453","5,241,806","5,309,371","5,227,086","5,248,693"
"Nagoya","1,602,230","957,607","783,515","1,846,583","1,839,707","1,803,201","1,771,846","1,484,422","1,322,579","1,212,730","979,236","623,138","851,168","875,438","826,349","872,410","805,815","1,871,009","20,286,272"
"Nagoya Chubu","10,986,930","5,370,764","5,828,227","26,050,536","24,374,200","22,969,401","21,788,005","20,588,619","19,568,358","19,269,421","18,165,522","17,389,339","18,334,552","18,278,765","21,579,796","23,204,646","23,374,373","22,842,045","1,446,247"
"Naha","29,994,668","15,413,643","15,799,064","42,375,447","42,930,223","42,134,770","39,704,875","36,880,434","34,824,489","32,245,016","30,460,874","27,771,214","28,751,565","28,099,258","30,081,135","29,886,903","28,667,558","27,161,252","25,540,889"
"Nakashibetsu","282,920","162,112","141,200","420,164","410,343","413,354","406,951","396,947","393,539","386,473","377,914","349,953","339,523","333,773","356,736","398,363","415,993","446,431","423,084"
