,Country,Year,Expenditure_per_Visitor
0,ALGERIA,1995,170.6422018348624
1,ALGERIA,1996,215.1029748283753
2,ALGERIA,1997,174.12333736396613
3,ALGERIA,1998,306.02957906712174
4,ALGERIA,1999,277.9623477297896
5,ALGERIA,2000,191.84890656063618
6,ALGERIA,2001,163.0252100840336
7,ALGERIA,2002,197.29514717581543
8,ALGERIA,2003,203.34928229665073
9,ALGERIA,2004,240.64925899788284
10,ALGERIA,2005,244.54725710508922
11,ALGERIA,2006,258.7101556708673
12,ALGERIA,2007,250.83388925950635
13,ALGERIA,2008,304.093567251462
14,ALGERIA,2009,271.91413237924866
15,ALGERIA,2010,342.0603301081389
16,ALGERIA,2011,307.2886297376093
17,ALGERIA,2012,276.81841967556255
18,ALGERIA,2013,220.5056179775281
19,ALGERIA,2014,214.15991546319125
20,ALGERIA,2015,188.29026937877956
21,ALGERIA,2016,104.63576158940397
22,ALGERIA,2017,114.66982997232108
23,ALGERIA,2018,88.77005347593582
24,ALGERIA,2019,111.3049546406141
25,ALGERIA,2020,168.83116883116884
27,ALGERIA,2022,144.8516579406632
30,ARGENTINA,1995,859.2398427260813
31,ARGENTINA,1996,834.2644320297951
32,ARGENTINA,1997,877.1308390524684
33,ARGENTINA,1998,921.1672473867595
34,ARGENTINA,1999,876.5148349352278
35,ARGENTINA,2000,893.3979406420351
36,ARGENTINA,2001,817.5136497270055
37,ARGENTINA,2002,773.936170212766
38,ARGENTINA,2003,813.1476683937824
39,ARGENTINA,2004,587.0153291253381
40,ARGENTINA,2005,622.6288774827048
41,ARGENTINA,2006,685.638649900728
42,ARGENTINA,2007,798.4983766233767
43,ARGENTINA,2008,845.3456221198156
44,ARGENTINA,2009,783.0139823925427
45,ARGENTINA,2010,813.9076113759658
46,ARGENTINA,2011,738.275143303804
47,ARGENTINA,2012,737.4321880650995
48,ARGENTINA,2013,602.6005688744413
49,ARGENTINA,2014,596.9866294152864
50,ARGENTINA,2015,530.587430655825
51,ARGENTINA,2016,519.1204076159828
52,ARGENTINA,2017,527.1741648519668
53,ARGENTINA,2018,579.5448373255119
54,ARGENTINA,2019,511.3340281396561
55,ARGENTINA,2020,707.1201370198189
56,ARGENTINA,2021,1263.5009310986964
57,ARGENTINA,2022,705.3605373209986
66,ARMENIA,2008,843.0232558139535
67,ARMENIA,2009,842.2053231939163
68,ARMENIA,2010,1028.4191829484903
69,ARMENIA,2011,960.8391608391609
70,ARMENIA,2012,832.1243523316062
71,ARMENIA,2013,858.7257617728532
72,ARMENIA,2014,854.7579298831386
73,ARMENIA,2015,839.0901432181971
74,ARMENIA,2016,776.7220902612827
75,ARMENIA,2017,784.7503373819163
76,ARMENIA,2018,789.8952556993222
77,ARMENIA,2019,797.1092077087794
80,ARMENIA,2022,1138.718173836699
81,AUSTRALIA,1995,2050.4168320762205
82,AUSTRALIA,1996,2166.9106881405564
83,AUSTRALIA,1997,2134.674394817593
84,AUSTRALIA,1998,1875.9886111989877
85,AUSTRALIA,1999,1925.545171339564
86,AUSTRALIA,2000,1826.186392224128
87,AUSTRALIA,2001,1665.6985187336625
88,AUSTRALIA,2002,1722.912453048252
89,AUSTRALIA,2003,2165.5844155844156
90,AUSTRALIA,2004,2441.519798580911
91,AUSTRALIA,2005,2470.3532380151387
92,AUSTRALIA,2006,2537.3406193078326
93,AUSTRALIA,2007,3012.4496521420724
94,AUSTRALIA,2008,3377.5826446280994
95,AUSTRALIA,2009,2985.65965583174
96,AUSTRALIA,2010,3175.8411938617487
97,AUSTRALIA,2011,3514.5095017976373
98,AUSTRALIA,2012,3419.142717973697
99,AUSTRALIA,2013,3768.2280159080865
100,AUSTRALIA,2014,3510.9704641350213
101,AUSTRALIA,2015,2975.5351681957186
102,AUSTRALIA,2016,2968.1424446583255
103,AUSTRALIA,2017,3576.0153677277717
104,AUSTRALIA,2017,3096.597145993414
105,AUSTRALIA,2018,3277.99701832851
106,AUSTRALIA,2019,2986.235375086029
107,AUSTRALIA,2020,2324.505649717514
109,AUSTRALIA,2022,3078.262533486414
110,AUSTRIA,2000,827.8427205100957
111,AUSTRIA,2001,787.9041916167664
112,AUSTRIA,2002,834.8657149770142
113,AUSTRIA,2003,1028.506679389313
114,AUSTRIA,2004,1103.4523951738145
115,AUSTRIA,2005,1135.2668778942236
116,AUSTRIA,2006,958.7731527584147
117,AUSTRIA,2007,1069.1575536654516
118,AUSTRIA,2008,1181.9778857083807
119,AUSTRIA,2009,1069.6571485031122
120,AUSTRIA,2010,1024.0841934831005
121,AUSTRIA,2011,1069.0702855985417
122,AUSTRIA,2012,911.2226277372263
