,Rank,Name,City,Country,Number_of_Passengers,Latitude,Longitude
0,1,Hartsfield–Jackson Atlanta International Airport,Atlanta,United States,108.07M,33.6367,-84.428101
1,2,Dubai International Airport,Dubai,United Arab Emirates,92.30M,25.2527999878,55.3643989563
2,3,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,87.82M,32.896801,-97.038002
3,4,Tokyo Haneda Airport,Tokyo,Japan,85.00M,35.552299,139.779999
4,5,Heathrow Airport,London,United Kingdom,83.88M,51.4706,-0.461941
5,6,Denver International Airport,Denver,United States,82.36M,39.861698150635,-104.672996521
6,7,O'Hare International Airport,Chicago,United States,80.04M,41.9786,-87.9048
7,8,Istanbul Airport,Istanbul,Turkey,79.99M,41.275278,28.751944
8,9,Indira Gandhi International Airport,Delhi,India,77.82M,28.5665,77.103104
9,10,Shanghai Pudong International Airport,Shanghai,China,76.79M,31.143400192260746,121.80500030517578
10,11,Los Angeles International Airport,Los Angeles,United States,76.59M,33.94250107,-118.4079971
11,12,Guangzhou Baiyun International Airport,Guangzhou,China,76.36M,23.39240074157715,113.29900360107422
12,13,Seoul Incheon International Airport,Seoul,South Korea,70.67M,37.46910095214844,126.45099639892578
13,14,Charles de Gaulle Airport,Paris,France,70.29M,49.012798,2.55
14,15,Singapore Changi Airport,Singapore,Singapore,67.70M,1.35019,103.994003
15,16,Beijing Capital International Airport,Beijing,China,67.37M,40.0801010131836,116.58499908447266
16,17,Amsterdam Airport Schiphol,Amsterdam,Netherlands,66.83M,52.308601,4.76389
17,18,Adolfo Suárez Madrid–Barajas Airport,Madrid,Spain,66.20M,40.471926,-3.56264
18,19,John F. Kennedy International Airport,New York,United States,63.27M,40.63980103,-73.77890015
19,20,Shenzhen Bao'an International Airport,Shenzhen,China,61.48M,22.639299392700195,113.81099700927734
20,21,Suvarnabhumi Airport,Bangkok,Thailand,60.00M,13.681099891662598,100.74700164794922
21,22,Frankfurt Airport,Frankfurt,Germany,59.36M,50.033333,8.570556
22,23,Charlotte Douglas International Airport,Charlotte,United States,58.81M,35.2140007019043,-80.94309997558594
23,24,Harry Reid International Airport,Las Vegas,United States,58.45M,36.08010101,-115.1520004
24,25,Orlando International Airport,Orlando,United States,57.21M,28.429399490356445,-81.30899810791016
25,26,Kuala Lumpur International Airport,Kuala Lumpur,Malaysia,57.04M,2.745579957962,101.70999908447
26,27,Miami International Airport,Miami,United States,55.93M,25.79319953918457,-80.29060363769531
27,28,Josep Tarradellas Barcelona–El Prat Airport,Barcelona,Spain,55.03M,41.2971,2.07846
28,29,Chengdu Tianfu International Airport,Chengdu,China,54.91M,30.578500747680664,103.9469985961914
29,30,Soekarno–Hatta International Airport,Jakarta,Indonesia,54.81M,-6.1255698204,106.65599823
30,31,Chhatrapati Shivaji Maharaj International Airport,Mumbai,India,54.80M,19.0886993408,72.8678970337
31,32,Hong Kong International Airport,Hong Kong,Hong Kong,53.10M,22.308901,113.915001
32,33,Hamad International Airport,Doha,Qatar,52.70M,25.273056,51.608056
33,34,Seattle–Tacoma International Airport,Seattle,United States,52.64M,47.449001,-122.308998
34,35,Phoenix Sky Harbor International Airport,Phoenix,United States,52.33M,33.43429946899414,-112.01200103759766
35,36,San Francisco International Airport,San Francisco,United States,52.29M,37.61899948120117,-122.375
36,37,Ninoy Aquino International Airport,Manila,Philippines,50.10M,14.5086,121.019997
37,38,Beijing Daxing International Airport,Beijing,China,49.44M,39.509945,116.41092
38,39,Rome Fiumicino Airport,Roma,Italy,49.20M,-26.545000076300003,148.774993896
39,40,King Abdulaziz International Airport,Jeddah,Saudi Arabia,49.10M,21.6796,39.156502
40,41,Newark Liberty International Airport,Newark,United States,48.85M,40.692501068115234,-74.168701171875
41,42,Chongqing Jiangbei International Airport,Chongqing,China,48.68M,29.719200134277344,106.64199829101562
42,43,George Bush Intercontinental Airport,Houston,United States,48.45M,29.984399795532227,-95.34140014648438
43,44,Hangzhou Xiaoshan International Airport,Hangzhou,China,48.05M,30.22949981689453,120.43399810791016
44,45,Shanghai Hongqiao International Airport,Shanghai,China,47.94M,31.197900772094727,121.33599853515624
45,46,Kunming Changshui International Airport,Kunming,China,47.18M,25.1019444,102.9291667
46,47,Xi'an Xianyang International Airport,Xi'an,China,47.03M,34.447102,108.751999
47,48,Toronto Pearson International Airport,Toronto,Canada,46.80M,43.6772003174,-79.63059997559999
48,49,El Dorado International Airport,Bogota,Colombia,45.82M,4.70159,-74.1469
49,50,Mexico City International Airport,Mexico City,Mexico,45.36M,19.4363,-99.072098
